id,name,address,city,state,zip,category,subcategory,annual_revenue,employee_count,founded_year,lat,lon,is_active,last_inspection_date
1,Olympic & Systems Consulting,1524 Broadway Ave,Spokane,WA,99201,Technology,Software,6337781,1792,1979,47.688986,-117.460613,true,2020-04-18
2,The Pacific Services,5674 Commerce Blvd,Federal Way,WA,98003,Healthcare,Telehealth,22638477,838,1961,47.286453,-122.299288,true,2024-01-10
3,Bay Systems Enterprises,9144 Industrial Pkwy,Yakima,WA,98903,Retail,Home Goods,38795446,1576,1958,46.636855,-120.482432,true,2022-07-22
4,Labs Holdings,2764 Canyon Way,Bellingham,WA,98225,Retail,Apparel,45024694,2188,1959,48.792638,-122.436022,true,2021-12-01
5,Dynamics Consulting,1016 Sunset Ave,Federal Way,WA,98023,Professional Services,Legal,26971713,2194,1958,47.279608,-122.324465,true,2023-07-12
6,Metro Group,4140 Market Pkwy,Redmond,WA,98053,Professional Services,Marketing,39210231,3272,1996,47.657476,-122.070254,true,2021-07-20
7,The Olympic Services,9871 Cedar Ln,Federal Way,WA,98023,Manufacturing,Aerospace,40039395,3835,2017,47.350694,-122.266668,true,2020-02-17
8,Partners Corp,7223 River Pl,Spokane,WA,99201,Professional Services,Consulting,48508777,2158,2014,47.681805,-117.425564,true,2025-09-10
9,Evergreen Associates,8937 Main Pkwy,Kennewick,WA,99337,Technology,Cloud Services,32839774,160,1964,46.251,-119.13908,false,2023-06-13
10,Cascade & Connect Corp,2160 Lake Pl,Redmond,WA,98052,Technology,Hardware,17837649,4323,2004,47.715361,-122.066366,false,2022-04-03
11,Metro Logic Holdings,4161 Sunset St,Vancouver,WA,98662,Retail,Sporting Goods,1461585,4820,2020,46.0,-122.652015,true,2022-06-21
12,Soundside Agency,4662 Adams Rd,Seattle,WA,98125,Technology,Software,8929297,4678,2023,47.577473,-122.28135,true,2025-04-21
13,The Alpine Design,987 Washington Ave,Bellingham,WA,98226,Manufacturing,Aerospace,48919586,2780,1963,48.701319,-122.460922,true,2022-02-18
14,Pioneer & Data Holdings,1704 Pine Ct,Federal Way,WA,98003,Manufacturing,Aerospace,6308758,1937,1971,47.310626,-122.336575,true,2025-05-25
15,Labs Holdings,7030 Adams Blvd,Redmond,WA,98052,Manufacturing,Aerospace,19961725,1784,1957,47.629756,-122.179741,true,2020-09-06
16,Peak & Services Inc,1412 Forest St,Vancouver,WA,98664,Retail,Apparel,4610776,1927,2001,46.0,-122.672785,true,2022-10-05
17,Bridge Agency,4372 Sunrise Way,Olympia,WA,98502,Food & Beverage,Restaurant,17875088,3243,1966,47.054326,-122.909693,true,2023-05-13
18,Harbor & Systems Corp,3592 Monroe Dr,Everett,WA,98203,Retail,Apparel,23471586,564,1981,47.921118,-122.185461,true,2021-10-08
19,Peak & Tech Consulting,5005 Washington Blvd,Everett,WA,98204,Food & Beverage,Brewery,7796286,877,2020,47.993401,-122.141532,true,2023-02-28
20,Logic Holdings,932 Elm Ln,Olympia,WA,98503,Healthcare,Clinic Services,3008612,30,1992,47.004432,-122.883891,true,2022-12-08
21,Pacific Corp,9038 Maple Way,Tacoma,WA,98418,Professional Services,Marketing,37129331,1214,2005,47.256202,-122.448678,true,2023-06-16
22,The Puget Innovations,2632 Pacific Blvd,Renton,WA,98056,Technology,Cloud Services,27718609,204,1972,47.455209,-122.220056,true,2023-09-22
23,Columbia Services Industries,6367 Maple Pl,Bellingham,WA,98225,Manufacturing,Metal Fabrication,13443105,3771,1994,48.793688,-122.44271,true,2022-07-21
24,Cascade & Labs Associates,6648 Meadow Ave,Redmond,WA,98052,Technology,Hardware,17579855,1463,2024,47.657816,-122.146568,false,2022-12-23
25,Coastal Edge Agency,6411 Valley Dr,Seattle,WA,98102,Technology,Cybersecurity,47615775,3573,1950,47.591482,-122.295629,true,2022-03-18
26,Cedar Partners Consulting,5020 Monroe Dr,Renton,WA,98058,Manufacturing,Aerospace,21939764,3297,1987,47.543865,-122.139507,true,2022-02-24
27,The Cedar Bridge,9077 Main Dr,Kent,WA,98032,Professional Services,Marketing,14155121,3522,2024,47.401278,-122.181663,true,2023-08-12
28,Summit & Data Group,5591 Elm Rd,Everett,WA,98204,Manufacturing,Food Processing,15125379,1632,1968,48.001075,-122.198659,true,2022-09-29
29,The Harbor Works,8199 Cherry Rd,Everett,WA,98203,Food & Beverage,Restaurant,44077307,46,1963,47.97465,-122.153664,true,2022-06-15
30,The Puget Ventures,8802 Ridge Pl,Tacoma,WA,98418,Professional Services,Marketing,48319658,4136,2004,47.196026,-122.470096,true,2024-12-31
31,Columbia Holdings,4599 Lincoln St,Kennewick,WA,99338,Healthcare,Telehealth,19224891,1921,1984,46.204008,-119.109787,true,2020-11-26
32,The Evergreen Data,5521 Madison Ln,Tacoma,WA,98401,Healthcare,Pharmaceuticals,13930420,3442,1999,47.235964,-122.481663,false,2020-03-21
33,Rainier & Analytics Enterprises,9047 Sunset Pl,Yakima,WA,98902,Food & Beverage,Bakery,18366378,3571,2012,46.597238,-120.456871,true,2023-10-08
34,Olympic Edge Agency,6555 Oak St,Spokane,WA,99207,Professional Services,Marketing,9156638,3783,1973,47.686902,-117.389139,true,2024-04-01
35,Labs Enterprises,1441 Jefferson Ave,Renton,WA,98059,Healthcare,Telehealth,3545405,2867,1978,47.469221,-122.158652,true,2020-06-13
36,The Olympic Dynamics,1974 Sunrise Pl,Bellingham,WA,98229,Technology,Hardware,17246223,3022,1971,48.713923,-122.537554,true,2021-04-14
37,The Rainier Bridge,6598 Valley St,Bellingham,WA,98229,Healthcare,Clinic Services,46396348,1990,1963,48.702972,-122.536919,true,2023-05-20
38,The Northwest Innovations,6171 Cedar Ct,Yakima,WA,98903,Professional Services,Consulting,899071,3442,2012,46.635547,-120.502088,true,2024-01-23
39,Peak & Labs Studio,8021 Madison Ln,Spokane,WA,99205,Manufacturing,Metal Fabrication,21679494,2012,1961,47.618359,-117.468864,true,2025-01-20
40,Pacific Associates,8088 Sunrise Way,Redmond,WA,98053,Manufacturing,Metal Fabrication,22889753,2291,1985,47.68324,-122.134521,true,2025-10-17
41,The Pioneer Connect,7442 Oak St,Redmond,WA,98053,Technology,Hardware,14921082,3313,1981,47.696409,-122.121371,true,2024-02-20
